term,tf,df,doc_frac,idf,jargon_score
nodes,3831,2738,0.2738,2.295092197713438,18.93713194565175
not,3805,2860,0.286,2.251513873926406,18.562232490031843
enlarged,3765,2545,0.2545,2.368161587859164,19.49889478048466
cardiac,3671,2762,0.2762,2.286368042053099,18.76763321463567
kidneys,3628,2810,0.281,2.269144796069984,18.59952730370981
tract,3573,2781,0.2781,2.2795149944931277,18.6497167424486
pattern,3518,1923,0.1923,2.648278735750864,21.62566443685336
distended,3483,2247,0.2247,2.4926441559629344,20.329847049252624
unremarkable,3424,2573,0.2573,2.357223978820444,19.185108292926024
thickness,3405,1475,0.1475,2.913349361816098,23.695126480055745
opacity,3393,2044,0.2044,2.587287298499614,21.03403629039701
moderately,3392,2380,0.238,2.4351645204896535,19.79659634159593
included,3326,2675,0.2675,2.318361945728397,18.801512624789474
parenchyma,3309,2609,0.2609,2.343334866659777,18.992034221372442
kidney,3285,1557,0.1557,2.8592821405458224,23.152826399965075
pancreas,3232,2414,0.2414,2.4209858008898433,19.5643876025102
may,3172,2265,0.2265,2.4846689253885645,20.03247622028054
consistent,3164,2516,0.2516,2.3796173718412,19.179497888410143
intestinal,3116,1757,0.1757,2.738508288731394,22.03027574688925
gastric,3112,1793,0.1793,2.7182373243577747,21.863712900275253
peritoneal,3091,1846,0.1846,2.689122386777276,21.61132946902292
silhouette,3047,2581,0.2581,2.354120795569928,18.885324169326232
margins,3030,2154,0.2154,2.534894364438668,20.32135552524304
nodules,3014,1906,0.1906,2.657153761376097,21.287402362027525
renal,3011,1543,0.1543,2.8683086363917947,22.97618358950244
ventrodorsal,2999,2262,0.2262,2.485993721342979,19.90377950394257
effusion,2935,1919,0.1919,2.6503599019546886,21.162602729143945
total,2910,2738,0.2738,2.295092197713438,18.306233603087225
volume,2878,1922,0.1922,2.648798621387736,21.098206251253483
as,2836,1967,0.1967,2.6256672893643174,20.87537417708896
intestine,2780,2440,0.244,2.4102772965835557,19.1148628275209
dorsal,2756,1850,0.185,2.686959054403019,21.285816663561278
diameter,2752,2026,0.2026,2.596128220524516,20.5624946911555
patient,2732,2086,0.2086,2.5669574598993155,20.312732735859008
osseous,2703,2099,0.2099,2.5607477432650017,20.23627687089481
secondary,2690,2063,0.2063,2.5780392403750625,20.360498400034317
ventral,2689,1778,0.1778,2.726633679310681,21.53303453768138
significant,2679,2443,0.2443,2.40904904668503,19.01600227861656
that,2622,1854,0.1854,2.6848003919349805,21.134947306487742
gallbladder,2608,1270,0.127,3.062881095787062,24.094834972952082
other,2607,2236,0.2236,2.497549405486386,19.646570100609313
from,2594,1812,0.1812,2.707702156221665,21.286172130741587
available,2594,2389,0.2389,2.43139172205096,19.114001366035044
diffusely,2557,1599,0.1599,2.8326814587486435,22.227997535257767
radiographs,2537,2280,0.228,2.478071144692128,19.425925937031465
considered,2524,2010,0.201,2.604052977203864,20.400141497032696
mediastinum,2515,2382,0.2382,2.434324889877774,19.061799979796575
chronic,2503,1892,0.1892,2.6645222157671933,20.85160424170167
most,2467,1982,0.1982,2.61807423845672,20.450205630711075
bowel,2443,1357,0.1357,2.9966720588578744,23.37821138973384
lobe,2434,1139,0.1139,3.171656825587975,24.731634884847757
along,2410,1473,0.1473,2.9147052942272342,22.699132791200984
large,2405,1674,0.1674,2.7868719227173493,21.697806964666093
lymphadenopathy,2395,2126,0.2126,2.5479725517762786,19.827190994242777
up,2370,1183,0.1183,3.133786551532565,24.35286552536913
vasculature,2370,2194,0.2194,2.5165030414672445,19.55591395752959
performed,2368,1900,0.19,2.660305024488087,20.671163831417537
mineral,2360,1455,0.1455,2.9269921382198847,22.733481190856804
hypoechoic,2343,1236,0.1236,3.089995994584028,23.977176645170974
metastatic,2326,1874,0.1874,2.674076428572005,20.730336726576564
changes,2319,1783,0.1783,2.7238270538365614,21.107814178145297
region,2254,1649,0.1649,2.80190980008189,21.633280090905394
similar,2229,1129,0.1129,3.1804674552701298,24.520630795441953
incidental,2208,1768,0.1768,2.732270672816731,21.03929075633613
joint,2204,1009,0.1009,3.292734757141211,25.34906185290896
foreign,2182,1548,0.1548,2.8650755265596475,22.028005279097673
ultrasound,2177,1873,0.1873,2.6746099041781486,20.55748582204286
shape,2173,1319,0.1319,3.0250533513960995,23.245490274152587
opaque,2149,1485,0.1485,2.9065971416988114,22.30296839146959
serosal,2121,1875,0.1875,2.673543237410346,20.47964683581761
debris,2117,1131,0.1131,3.178699108213388,24.34320100790431
medial,2111,1154,0.1154,3.1585847440206223,24.180200100266077
bilateral,2101,1587,0.1587,2.840209725169435,21.729435058805624
given,2081,1653,0.1653,2.7994884913928795,21.391127417328573
less,2079,1686,0.1686,2.779733284430548,21.23750468029042
nodule,2077,1040,0.104,3.262503298361547,24.922788519253512
bronchial,2060,1192,0.1192,3.1262139448785997,23.855971613803426
detail,2057,1782,0.1782,2.724387749113376,20.785688860207834
mm,2055,879,0.0879,3.4305184595042637,26.16977053661938
trachea,2038,1602,0.1602,2.830808214366963,21.57136656778263
layering,2034,1194,0.1194,3.124538902610905,23.80352192517397
radiographic,2024,1816,0.1816,2.705498298580345,20.59783777868644
neoplasia,2020,1596,0.1596,2.8345582187615035,21.574808228218043
diffuse,2017,1458,0.1458,2.9249338184537303,22.25834330522479
echogenic,2000,1158,0.1158,3.1551275236367644,23.983393724081893
represent,1995,1534,0.1534,2.8741547069552187,21.840415515801123
vs,1989,1168,0.1168,3.1465364055044476,23.900744158305564
disc,1987,841,0.0841,3.4746603527341895,26.38964366386114
bilaterally,1983,1284,0.1284,3.051926369647196,23.172881052784295
intervertebral,1980,828,0.0828,3.4902202118412213,26.495507799690564
could,1959,1492,0.1492,2.9018975694373257,21.998414185614596
throughout,1957,1611,0.1611,2.8252094439099427,21.414180192799353
severe,1953,1241,0.1241,3.085962104483092,23.38429084906099
lumen,1942,1144,0.1144,3.167280450988176,23.98261099082144
fat,1935,1410,0.141,2.958386415123702,22.390190410471437
thickening,1930,1253,0.1253,3.07634664578365,23.275002787091434
distal,1923,1078,0.1078,3.2266504017183815,24.40045186525358
glands,1909,1356,0.1356,2.9974087071416466,22.644998712190585
body,1889,1346,0.1346,3.004805190566152,22.6692482776346
limits,1852,1637,0.1637,2.8092091025635013,21.138065889677215
fecal,1847,1631,0.1631,2.8128788314524638,21.158078663682822
level,1840,1242,0.1242,3.085157275465805,23.1944104061501
opposite,1836,1753,0.1753,2.7407861940443876,20.59944504072652
heterogeneous,1832,1258,0.1258,3.072367332932169,23.084874842213047
prior,1829,990,0.099,3.311725832646528,24.8779204015145
radiology,1813,1605,0.1605,2.828938472469809,21.226344706300523
but,1792,1389,0.1389,2.9733813408517786,22.275518863494188
gastrointestinal,1781,1490,0.149,2.9032380522117776,21.732164075946812
splenic,1723,1021,0.1021,3.2809235962128662,24.45076305069424
echogenicity,1719,1010,0.101,3.2917451479560444,24.523763275800288
vd,1700,1282,0.1282,3.0534840023608796,22.7147807513978
interpretation,1696,1684,0.1684,2.780919524190054,20.680634146818704
compared,1684,1448,0.1448,2.9318114246558338,21.78195408659999
conclusive,1651,1044,0.1044,3.2586682025776046,24.14589049506875
th,1651,1139,0.1139,3.171656825587975,23.50115864450634
due,1638,1295,0.1295,3.043402490064296,22.52678309181041
both,1623,1120,0.112,3.188463943904356,23.571190069814826
bone,1615,875,0.0875,3.4350742760401247,25.377329966031244
peritoneum,1609,1572,0.1572,2.8497004639182384,21.042158183968738
image,1609,1058,0.1058,3.2453600213751095,23.963704185178717
obstruction,1604,1391,0.1391,2.9719435260821507,21.935555666540242
reported,1603,1386,0.1386,2.9755419466616844,21.960260675555634
proximal,1580,943,0.0943,3.3603142008310156,24.751445477538383
ultrasonographic,1570,1533,0.1533,2.8748063850493146,21.15704455702106
gall,1562,1449,0.1449,2.931121531561896,21.556529777606112
multifocal,1561,1145,0.1145,3.166407469701831,23.28488131709055
dated,1549,1369,0.1369,2.9878743481543455,21.948955467479845
dvm,1540,1534,0.1534,2.8741547069552187,21.09683254266604
anechoic,1525,994,0.0994,3.3076976298179233,24.246763944822682
benign,1518,1186,0.1186,3.131255972366848,22.938978494912877
visible,1508,1091,0.1091,3.214674210671666,23.528851386885652
by,1508,1267,0.1267,3.065244231979345,22.435143119427188
appearance,1507,941,0.0941,3.362435092400153,24.608114203223085
has,1494,1086,0.1086,3.2192634798553064,23.532434509386178
multiple,1491,1131,0.1131,3.178699108213388,23.229528691150485
filled,1485,945,0.0945,3.3581977979246376,24.52775023551437
spine,1482,1013,0.1013,3.2887821828253876,24.01410322097957
hepatic,1478,858,0.0858,3.4546714449922606,25.216066490757143
clinical,1453,1256,0.1256,3.0739571583862686,22.384782449192485
pneumonia,1442,1137,0.1137,3.17341275229024,23.08492619808768
if,1436,1148,0.1148,3.1637930891277604,23.00176566477332
remainder,1431,1215,0.1215,3.107118304450404,22.578892266762004
cannot,1430,1162,0.1162,3.1516822144578516,22.900528842488402
interstitial,1421,916,0.0916,3.3893328947200514,24.605945415137654
cardiovascular,1415,1374,0.1374,2.9842313568758447,21.652362993302553
mediastinal,1414,1102,0.1102,3.2046513477230136,23.24937638418956
portion,1393,1174,0.1174,3.1414169403982566,22.74364688971557
increased,1387,1061,0.1061,3.242531165174632,23.461720564243038
evaluation,1380,1151,0.1151,3.1611855257206796,22.85715158336673
hyperplasia,1380,1032,0.1032,3.2702178978568774,23.64551703586353
which,1374,1130,0.113,3.1795828908603956,22.97633053429733
measuring,1366,777,0.0777,3.5537138427981243,25.659142453743303
pole,1364,652,0.0652,3.728863237700085,26.918327025016982
without,1359,1096,0.1096,3.210105906701286,23.161684473988746
enlargement,1358,988,0.0988,3.313746035353804,23.90703539943587
also,1354,1080,0.108,3.224798549337308,23.25581769205404
stifle,1340,506,0.0506,3.981929363385333,28.67455379089481
cervical,1337,716,0.0716,3.6353645263768954,26.1707392602242
esophagus,1327,1086,0.1086,3.2192634798553064,23.15110581014643
resident,1324,1324,0.1324,3.0212726285561935,21.720435710188553
patent,1315,1295,0.1295,3.043402490064296,21.858788301830163
over,1305,955,0.0955,3.3476824539251147,24.018698683789214
intrathoracic,1300,1146,0.1146,3.1655352498471454,22.6997002514541
heart,1293,910,0.091,3.395897469716558,24.33328116122963
evaluated,1271,1263,0.1263,3.0684037922697134,21.934011189038035
spondylosis,1270,1156,0.1156,3.1568546397828396,22.56380564837728
further,1267,1120,0.112,3.188463943904356,22.782200248563242
deformans,1250,1136,0.1136,3.17429187322598,22.638092624072947
procedures,1250,1249,0.1249,3.079541536680169,21.962361790062946
previous,1248,818,0.0818,3.5023562831234467,24.972145316227444
special,1245,1243,0.1243,3.0843530936773913,21.984324112367
suspected,1234,954,0.0954,3.3487290264957856,23.8390200948143
prioritized,1215,756,0.0756,3.581077113539067,25.437544068209384
degenerative,1209,1077,0.1077,3.2275776155075735,22.9105583175799
lesions,1209,876,0.0876,3.433933374604333,24.375349010835247
corticomedullary,1208,962,0.0962,3.3403869551783907,23.708559594335032
cystocentesis,1206,1087,0.1087,3.218343939560628,22.837024943888583
plane,1201,846,0.0846,3.4687396723244617,24.599407220524746
was,1185,842,0.0842,3.4734734089746606,24.58643125623327
reproductive,1182,1176,0.1176,3.139716259716239,22.216032140877232
however,1175,925,0.0925,3.3795661323303365,23.893107164377046
few,1169,948,0.0948,3.3550315683665883,23.702489561144343
formed,1168,1100,0.11,3.2064662302538363,22.650169506216482
appears,1166,602,0.0602,3.8085231702493307,26.896520464304288
edema,1165,985,0.0985,3.3167840123738808,23.42092093419478
minimal,1158,838,0.0838,3.4782296605093097,24.539998395876598
foci,1154,856,0.0856,3.4570024483787365,24.378282154171885
echotexture,1152,698,0.0698,3.660789624742706,25.809015375365867
out,1149,913,0.0913,3.392609795522366,23.909475959289328
unstructured,1143,811,0.0811,3.510940026814838,24.725044401347887
tissues,1141,826,0.0826,3.492635671952825,24.590028546150222
marked,1139,789,0.0789,3.538407421515449,24.906083921290012
nodular,1139,865,0.0865,3.446555458414081,24.259557835167872
swelling,1134,661,0.0661,3.7151748110395078,26.133980848302425
more,1131,883,0.0883,3.4259833043388728,24.090628152953286
rounded,1129,896,0.0896,3.41138450491772,23.98194066098647
pelvis,1114,696,0.0696,3.6636549562159924,25.706436844232183
subcutaneous,1110,602,0.0602,3.8085231702493307,26.70923312816694
fracture,1106,451,0.0451,4.096758187144285,28.715853432116397
contrast,1104,553,0.0553,3.893275680229232,27.282521047058186
surrounding,1097,813,0.0813,3.5084800009739756,24.563730246937357
cardiomegaly,1096,888,0.0888,3.4203431314626114,23.943545889143408
comparison,1090,1073,0.1073,3.231295091907706,22.602424427853087
orthogonal,1088,1058,0.1058,3.2453600213751095,22.694851708838176
airway,1084,907,0.0907,3.3991959883752227,23.758120397510197
associated,1084,899,0.0899,3.408045603652205,23.819973325655916
markedly,1067,837,0.0837,3.4794222664944328,24.263900858475196
round,1057,838,0.0838,3.4782296605093097,24.222863046922306
signs,1050,966,0.0966,3.336241871523222,23.211894049732415
aspirate,1048,1019,0.1019,3.2828824606981994,22.834392977866244
segments,1047,728,0.0728,3.6187666349678578,25.167215082482052
pelvic,1040,765,0.0765,3.5692581972359245,24.798981336033318
lobes,1036,703,0.0703,3.6536620108184734,25.371347632518734
inflammatory,1035,942,0.0942,3.3613740843430584,23.338431776486413
slightly,1035,821,0.0821,3.498699971920336,24.291902225757788
gland,1034,525,0.0525,3.9451391542388063,27.387774234516463
have,1030,685,0.0685,3.6795627392506307,25.529853061709595
cause,1029,952,0.0952,3.350825463322314,23.245728670428754
joints,1029,739,0.0739,3.603790180778301,25.000624366888943
excluded,1015,914,0.0914,3.3915163017009946,23.48159935925517
projection,1012,727,0.0727,3.62013931877983,25.05379502488981
mid,1010,748,0.0748,3.591701383459297,24.84988718988905
include,1008,856,0.0856,3.4570024483787365,23.911100760100407
ingesta,1008,899,0.0899,3.408045603652205,23.572480216831288
definition,1007,836,0.0836,3.4806162964870406,24.07097973730371
content,1004,723,0.0723,3.6256489745907996,25.063178918730998
lower,1002,919,0.0919,3.38606669693343,23.400263093924373
hepatopathy,998,803,0.0803,3.5208410977975495,24.317586077075447
calculi,997,815,0.0815,3.506026012012409,24.211750619287912
vessels,997,930,0.093,3.374181089699449,23.301262115060155
previously,995,612,0.0612,3.792075431040305,26.179530357598438
mineralization,995,650,0.065,3.7319307247679467,25.764306506612414
such,994,862,0.0862,3.4500256758930883,23.81463967728168
ddx,993,682,0.0682,3.683945507405726,25.42562377575743
these,984,802,0.0802,3.5220856530297544,24.276474235847676
reduced,976,797,0.0797,3.5283317695267074,24.29075297128511
bronchi,970,813,0.0813,3.5084800009739756,24.13247085417007
limb,967,594,0.0594,3.8218789614308863,26.276304869316906
related,965,821,0.0821,3.498699971920336,24.047138113763204
recommended,961,839,0.0839,3.4770384751391568,23.88382753125152
spinal,954,326,0.0326,4.420480196079263,30.332059091807558
tracheal,949,532,0.0532,3.9319189428106713,26.959052757888706
three,948,921,0.0921,3.383895143419922,23.19798453977434
dilation,948,710,0.071,3.643767937173275,24.979518776590417
decreased,938,650,0.065,3.7319307247679467,25.54437719222455
femoral,934,458,0.0458,4.081390156915971,27.918939272564554
node,932,602,0.0602,3.8085231702493307,26.04422465498064
ill-defined,925,751,0.0751,3.5877040430266764,24.507155109046852
conclusion,918,918,0.0918,3.3871542446208287,23.11152255159946
focal,917,680,0.068,3.6868780608270035,25.152609886109918
contour,916,842,0.0842,3.4734734089746606,23.692935424641192
middle,914,565,0.0565,3.8718462887733334,26.401825835564196
reactive,911,821,0.0821,3.498699971920336,23.84587944189218
smooth,910,610,0.061,3.795343407804921,25.863530462319428
extending,909,693,0.0693,3.667968406469712,24.991499530237643
observed,904,552,0.0552,3.8950823654541815,26.517467344364885
measures,898,423,0.0423,4.160706911744558,28.29814533025707
ovoid,896,716,0.0716,3.6353645263768954,24.717046493783428
artifact,894,765,0.0765,3.5692581972359245,24.259618771620083
all,893,771,0.0771,3.56145581695174,24.202605863284244
remains,888,642,0.0642,3.7442956427388965,25.42413149270814
head,887,559,0.0559,3.882503583247321,26.35820711873191
causing,884,716,0.0716,3.6353645263768954,24.668084615283163
thickened,884,657,0.0657,3.7212354356511987,25.250769196320473
portions,876,793,0.0793,3.5333569057293803,23.943817778221685
regions,875,654,0.0654,3.725805131341264,25.243693748326407
dilated,868,643,0.0643,3.7427416408721625,25.328416913000744
cord,865,279,0.0279,4.575650763807266,30.949175148168145
ruled,861,670,0.067,3.7016712300048344,25.02054077167433
process,860,563,0.0563,3.8753861154784572,26.19022560955049
vertebral,851,521,0.0521,3.9527727790938774,26.671676347831518
compression,848,472,0.0472,4.0513449784845825,27.322510319065298
lesion,847,544,0.0544,3.909654572313272,26.362334108286436
displacement,845,653,0.0653,3.727333015519317,25.1241603508074
prostate,842,690,0.069,3.6723005432088462,24.740167419450263
primary,825,707,0.0707,3.6479962732827964,24.502112702955234
otherwise,824,730,0.073,3.6160269072267375,24.28300701732961
two,822,687,0.0687,3.6766515290431725,24.681200679619195
structure,820,550,0.055,3.8987055578236016,26.162353742725898
iliac,814,498,0.0498,3.9978342712249972,26.798235165582348
mechanical,812,788,0.0788,3.5396740461306417,23.71840399856656
narrowing,808,574,0.0574,3.8560703261791653,25.819471514131838
clinically,806,757,0.0757,3.5797569813341443,23.960472129818413
descending,806,629,0.0629,3.7647205475909375,25.198493145612627
margin,806,652,0.0652,3.728863237700085,24.95848856463969
into,806,605,0.0605,3.8035603809072014,25.458460721220035
possible,805,729,0.0729,3.617395832834079,24.207915843120166
remaining,798,663,0.0663,3.712158217500082,24.809693255345397
alveolar,797,568,0.0568,3.866559932850185,25.83677336985318
scant,795,519,0.0519,3.956611555401043,26.428579324159283
partially,778,604,0.0604,3.8052119089456746,25.335142921639218
masses,777,481,0.0481,4.032496252925916,26.84322476550192
urethra,776,571,0.0571,3.8613013755967183,25.6986609800765
well-defined,774,628,0.0628,3.7663091102760755,25.056738636872403
fractures,774,514,0.0514,3.96627346631278,26.387074108337444
three-view,773,762,0.0762,3.573182335692059,23.767279123296948
infectious,768,688,0.0688,3.6751990959628573,24.422032323718092
cell,765,610,0.061,3.795343407804921,25.205566967956532
mainstem,763,593,0.0593,3.823561047613871,25.38296921060124
symmetrical,762,486,0.0486,4.022176243893926,26.696221578026513
bronchitis,762,660,0.066,3.7166865271248297,24.66860750192601
regional,761,563,0.0563,3.8753861154784572,25.71685514496512
lumbar,759,504,0.0504,3.9858819377011563,26.43962413023239
jejunal,755,380,0.038,4.267640991849815,28.286101072660436
numerous,755,593,0.0593,3.823561047613871,25.3427208279331
involving,754,456,0.0456,4.085756976082312,27.07515827252268
thick,751,535,0.0535,3.926306205905714,26.002890728801454
mixed,750,608,0.0608,3.798622099266619,25.15221783700013
transverse,747,569,0.0569,3.8648040061479203,25.57496553957094
coxofemoral,746,494,0.0494,4.005882604407826,26.503180434751794
lungs,745,609,0.0609,3.796981409809159,25.115990134962413
consider,744,681,0.0681,3.685410709133054,24.37303702202756
bile,744,543,0.0543,3.9114911201205733,25.868193644137186
hepatomegaly,742,709,0.0709,3.6451753969411547,24.09714657886138
infiltrates,740,678,0.0678,3.6898192394178198,24.382327841302484
acquired,738,693,0.0693,3.667968406469712,24.228024089358076
consultation,735,617,0.0617,3.783951909518825,24.978737312937316
length,724,524,0.0524,3.9470421043848924,25.995896828417724
margination,722,472,0.0472,4.0513449784845825,26.671661893502
distention,722,573,0.0573,3.8578109706569497,25.39754832156822
limited,721,609,0.0609,3.796981409809159,24.991827091272608
elbow,709,331,0.0331,4.405305398060028,28.921997212191183
loss,708,528,0.0528,3.9394519351182167,25.85799335583339
matter,706,580,0.058,3.8456896101246048,25.231687463547367
duodenum,706,576,0.0576,3.8525981004684167,25.27701428054817
cystic,700,555,0.0555,3.8896720727259337,25.487106934514863
pylorus,699,618,0.0618,3.78233509429192,24.778381056760338
catheter,699,297,0.0297,4.513346880471111,29.56729799388379
projections,698,563,0.0563,3.8753861154784572,25.38242554768608
differential,698,575,0.0575,3.854332706280625,25.244533070506947
granular,696,485,0.0485,4.024231743076022,26.345781665089497
some,696,573,0.0573,3.8578109706569497,25.256260580168814
atelectasis,688,600,0.06,3.8118454324413085,24.911329588815345
atrial,685,504,0.0504,3.9858819377011563,26.031307173689182
finding,684,590,0.059,3.828624349570418,24.998691952714548
none,684,675,0.0675,3.6942472909335518,24.121287854620725
shadowing,684,473,0.0473,4.04923304528144,26.439138526374553
superimposed,683,497,0.0497,3.9998402899518632,26.110789090016944
cortical,678,507,0.0507,3.979958919398034,25.9518042166425
irregular,678,543,0.0543,3.9114911201205733,25.50535163811644
cavity,677,522,0.0522,3.9508589029115933,25.75623110195128
mineralized,674,480,0.048,4.034573096870755,26.28408455643679
consideration,672,590,0.059,3.828624349570418,24.931026727279253
coarse,671,439,0.0439,4.123665640064209,26.846128626756748
overt,668,459,0.0459,4.079213877493375,26.538484622050266
remain,648,484,0.0484,4.026291476039033,26.071979550929957
etiologies,648,541,0.0541,3.9151743655368696,25.352448178198625
pyloric,646,547,0.0547,3.9041650800285006,25.26910838884228
underlying,645,585,0.0585,3.8371205773995034,24.829237928190718
neck,644,407,0.0407,4.1991731925723546,27.16550250632902
ct,644,597,0.0597,3.816849613025884,24.692155568229524
provided,644,562,0.0562,3.8771607388368254,25.082323337988264
examination,639,575,0.0575,3.854332706280625,24.904648122711556
adjacent,637,488,0.0488,4.018077877501645,25.950106181729648
duct,637,445,0.0445,4.110121414956452,26.544554483408508
canal,634,337,0.0337,4.387394471493497,28.31459864123402
concurrent,632,560,0.056,3.8807194614538196,25.03246610274714
cranioventral,631,465,0.0465,4.0662547328508705,26.22282702058144
additional,631,569,0.0569,3.8648040061479203,24.92369356570361
side,627,479,0.0479,4.036654263074579,26.006307228003063
chris,622,622,0.0622,3.775893848189063,24.296164616175894
holm,622,622,0.0622,3.775893848189063,24.296164616175894
acute,621,526,0.0526,3.9432398184351536,25.36662552329706
homogeneous,619,484,0.0484,4.026291476039033,25.88792472775112
neoplastic,613,538,0.0538,3.920724796067519,25.17103330541421
you,609,197,0.0197,4.922173336281981,31.568156672308003
attenuating,608,237,0.0237,4.738169693305041,30.380282995042663
distension,608,540,0.054,3.9170210881300345,25.115227367877054
principal,606,524,0.0524,3.9470421043848924,25.294732965474655
thin,603,509,0.0509,3.9760296412581444,25.460800820984673
extends,603,510,0.051,3.9740707767728116,25.448257086909145
tube,602,293,0.0293,4.526860599637835,28.980586720008194
it,601,482,0.0482,4.030423713323943,25.79574937895079
ileus,598,547,0.0547,3.9041650800285006,24.968157009009598
history,598,561,0.0561,3.8789385170828248,24.806826539750677
were,597,418,0.0418,4.172569447054379,26.677701436903774
lymphoma,596,520,0.052,3.954690325223149,25.278052767962002
patchy,596,453,0.0453,4.092343168935168,26.15791833539201
ultrasound-guided,596,350,0.035,4.34965414351065,27.802628757244765
urine,594,506,0.0506,3.981929363385333,25.43880025053242
multifocally,593,460,0.046,4.077042323979867,26.039577303193234
visualized,593,420,0.042,4.167807533294134,26.619283741480142
severely,593,485,0.0485,4.024231743076022,25.702282496174938
height,592,423,0.0423,4.160706911744558,26.56692246874248
completely,592,439,0.0439,4.123665640064209,26.33040674827736
opacities,589,451,0.0451,4.096758187144285,26.137819238027877
craniocaudal,587,397,0.0397,4.223988361692078,26.935220413612047
common,585,472,0.0472,4.0513449784845825,25.820517125779244
width,583,421,0.0421,4.165435052940504,26.533408837632866
